content,annotation/0/label/0,annotation/0/notes,annotation/0/points/0/x,annotation/0/points/0/y,annotation/0/points/1/x,annotation/0/points/1/y,annotation/0/imageWidth,annotation/0/imageHeight,annotation/1/label/0,annotation/1/notes,annotation/1/points/0/x,annotation/1/points/0/y,annotation/1/points/1/x,annotation/1/points/1/y,annotation/1/imageWidth,annotation/1/imageHeight,extras,annotation/2/label/0,annotation/2/notes,annotation/2/points/0/x,annotation/2/points/0/y,annotation/2/points/1/x,annotation/2/points/1/y,annotation/2/imageWidth,annotation/2/imageHeight,annotation/3/label/0,annotation/3/notes,annotation/3/points/0/x,annotation/3/points/0/y,annotation/3/points/1/x,annotation/3/points/1/y,annotation/3/imageWidth,annotation/3/imageHeight,annotation/4/label/0,annotation/4/notes,annotation/4/points/0/x,annotation/4/points/0/y,annotation/4/points/1/x,annotation/4/points/1/y,annotation/4/imageWidth,annotation/4/imageHeight,annotation/5/label/0,annotation/5/notes,annotation/5/points/0/x,annotation/5/points/0/y,annotation/5/points/1/x,annotation/5/points/1/y,annotation/5/imageWidth,annotation/5/imageHeight,annotation/6/label/0,annotation/6/notes,annotation/6/points/0/x,annotation/6/points/0/y,annotation/6/points/1/x,annotation/6/points/1/y,annotation/6/imageWidth,annotation/6/imageHeight,annotation/7/label/0,annotation/7/notes,annotation/7/points/0/x,annotation/7/points/0/y,annotation/7/points/1/x,annotation/7/points/1/y,annotation/7/imageWidth,annotation/7/imageHeight,annotation/8/label/0,annotation/8/notes,annotation/8/points/0/x,annotation/8/points/0/y,annotation/8/points/1/x,annotation/8/points/1/y,annotation/8/imageWidth,annotation/8/imageHeight,annotation/9/label/0,annotation/9/notes,annotation/9/points/0/x,annotation/9/points/0/y,annotation/9/points/1/x,annotation/9/points/1/y,annotation/9/imageWidth,annotation/9/imageHeight,annotation/10/label/0,annotation/10/notes,annotation/10/points/0/x,annotation/10/points/0/y,annotation/10/points/1/x,annotation/10/points/1/y,annotation/10/imageWidth,annotation/10/imageHeight,annotation/11/label/0,annotation/11/notes,annotation/11/points/0/x,annotation/11/points/0/y,annotation/11/points/1/x,annotation/11/points/1/y,annotation/11/imageWidth,annotation/11/imageHeight,annotation/12/label/0,annotation/12/notes,annotation/12/points/0/x,annotation/12/points/0/y,annotation/12/points/1/x,annotation/12/points/1/y,annotation/12/imageWidth,annotation/12/imageHeight,annotation/13/label/0,annotation/13/notes,annotation/13/points/0/x,annotation/13/points/0/y,annotation/13/points/1/x,annotation/13/points/1/y,annotation/13/imageWidth,annotation/13/imageHeight,annotation/14/label/0,annotation/14/notes,annotation/14/points/0/x,annotation/14/points/0/y,annotation/14/points/1/x,annotation/14/points/1/y,annotation/14/imageWidth,annotation/14/imageHeight,annotation/15/label/0,annotation/15/notes,annotation/15/points/0/x,annotation/15/points/0/y,annotation/15/points/1/x,annotation/15/points/1/y,annotation/15/imageWidth,annotation/15/imageHeight
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/49d8b065-f074-4f93-9f72-85c117ca6877___05-families-fighting-for-change-vogue-february-2018.jpg.jpeg,Face,,0.027709861450692746,0.10357142857142858,0.17277913610431947,0.38095238095238093,5000,3423,Face,,0.20048899755501223,0.22023809523809523,0.3154034229828851,0.4845238095238095,5000,3423,,Face,,0.530562347188264,0.11666666666666667,0.6674816625916871,0.40595238095238095,5000,3423,Face,,0.6764466177669112,0.2904761904761905,0.7685411572942136,0.49166666666666664,5000,3423,Face,,0.778321108394458,0.1773809523809524,0.9176854115729421,0.42142857142857143,5000,3423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/be506eb0-d5a8-432e-8a88-6f262af39484___05HelpingFamiliesGetAhead_0.jpg.jpeg,Face,,0.24268689057421453,0.14420803782505912,0.3531960996749729,0.3640661938534279,1400,642,Face,,0.3531960996749729,0.34988179669030733,0.4626218851570964,0.6430260047281324,1400,642,,Face,,0.49945828819068255,0.41371158392434987,0.628385698808234,0.6832151300236406,1400,642,Face,,0.6392199349945829,0.10638297872340426,0.7356446370530878,0.3664302600472813,1400,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/80c7d616-ed44-4b15-9a35-0c60641cc5e4___5_job_interview_movie_scenes.jpg.jpeg,Face,,0.6389568052159739,0.1568627450980392,0.7237163814180929,0.40641711229946526,1920,878,Face,,0.5403422982885085,0.27450980392156865,0.6226568867155664,0.4563279857397504,1920,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/a7417de6-d3d2-469f-872c-8445add6bbe4___5a0bcde9a83fcd89048b464e-750-375.jpg.jpeg,Face,,0.26266666666666666,0.08266666666666667,0.3973333333333333,0.3893333333333333,750,375,Face,,0.49866666666666665,0.050666666666666665,0.5973333333333334,0.2613333333333333,750,375,,Face,,0.6773333333333333,0.112,0.7906666666666666,0.368,750,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/c8cc5f4f-6684-443f-8f41-622e780fb59e___5b2d5ccb1a0000c504ce261f.jpeg,Face,,0.218851570964247,0.16720257234726688,0.30985915492957744,0.3086816720257235,5040,3396,Face,,0.6608884073672806,0.20739549839228297,0.7367280606717227,0.3408360128617363,5040,3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/4379b57c-a6e2-449a-8fb7-d58153da5b3b___5c8670b4917b6d7efe68c4f73042f96f.jpg.jpeg,Face,,0.3066088840736728,0.1348747591522158,0.3640303358613218,0.24277456647398843,1280,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/584e1406-faf8-4613-9e9d-4e79620a2f44___6c9f5fafffdf652e5bbf672fd355e4de.jpg.jpeg,Face,,0.42174629324546953,0.036243822075782535,0.5354200988467874,0.18616144975288304,607,607,Face,,0.47775947281713343,0.5947281713344317,0.6359143327841845,0.7446457990115322,607,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/14d82e7b-17b5-48ed-b755-777921f8fe58___07d4fe77dce1c871944c80c3f5596b5c--funny-movie-quotes-funny-movies.jpg.jpeg,Face,,0.39454545454545453,0.13819095477386933,0.6854545454545454,0.6256281407035176,550,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/5dcb5230-c3d2-4f78-8c9a-37c35e852289___7c9e84ab6a1d7cd45032c69f612893bc--the-train-cousin.jpg.jpeg,Face,,0.4979166666666667,0.20833333333333334,0.7854166666666667,0.6888888888888889,480,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/b4bf497b-42df-46ee-a039-34804a1992c1___7e09d2b84-1.jpg.jpeg,Face,,0.10833333333333334,0.18055555555555555,0.3729166666666667,0.4083333333333333,480,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/98c726f1-44ef-42b7-99ef-ce14f4bfb6ff___08slid1.jpg.jpeg,Face,,0.7904761904761904,0.19948186528497408,0.8990476190476191,0.37305699481865284,525,386,Face,,0.11047619047619048,0.14507772020725387,0.259047619047619,0.30569948186528495,525,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/084f7266-e971-4057-b089-f396296bcc3c___10-coverfield-lane-275x350.jpg.jpeg,Face,,0.22545454545454546,0.37142857142857144,0.49454545454545457,0.7971428571428572,275,350,Face,,0.4218181818181818,0.5228571428571429,0.7527272727272727,0.8628571428571429,275,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/e5389def-c898-4bd1-b7ca-bf0dfd226ef8___12familyseparation-sub-articleLarge.jpg.jpeg,Face,,0.06333333333333334,0.115,0.20333333333333334,0.3425,600,400,Face,,0.21666666666666667,0.3275,0.27,0.46,600,400,,Face,,0.395,0.08,0.5016666666666667,0.2625,600,400,Face,,0.875,0.1475,0.9666666666666667,0.3475,600,400,Face,,0.74,0.545,0.8683333333333333,0.69,600,400,Face,,0.6516666666666666,0.22,0.6966666666666667,0.305,600,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/df785cd1-117c-4e3d-a607-2690f8a1b397___0013.jpg.jpeg,Face,,0.49,0.20285714285714285,0.58,0.41714285714285715,600,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/6baf0532-4198-4404-b262-d483b79ec960___13_Favorite_Memorable_Movie_Scenes_Misery.jpg.jpeg,Face,,0.335,0.15333333333333332,0.6825,0.7533333333333333,400,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/66fab77d-5908-4760-a3d6-eb29886cf4ec___014a8f16-c5ce-43fc-bf88-a4950cac2394.jpg.jpeg,Face,,0.31,0.13428571428571429,0.42714285714285716,0.24571428571428572,700,700,Face,,0.5,0.6457142857142857,0.6328571428571429,0.7957142857142857,700,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/4cd25046-dd87-464c-b619-fe8e8903c918___14-scenes-from-movies-and-tv-that-made-us-cry-in--2-28533-1513793846-10_dblbig.jpg.jpeg,Face,,0.28,0.02650602409638554,0.8096,0.9518072289156626,625,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/4d8d9740-8905-49a1-bd07-03d508b2ff7f___16best-scenes14.jpg.jpeg,Face,,0.6402985074626866,0.05630026809651475,0.817910447761194,0.38605898123324395,670,373,Face,,0.32686567164179103,0.2064343163538874,0.4746268656716418,0.48525469168900803,670,373,,Face,,0.10895522388059702,0.26005361930294907,0.24477611940298508,0.5522788203753352,670,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/130f1009-0a91-4c2f-b4ee-6b8453a6534a___17de631fb19a739677253ce30453c38d--famous-movie-scenes-iconic-movies.jpg.jpeg,Face,,0.3390625,0.16354166666666667,0.5375,0.32395833333333335,640,960,Face,,0.5453125,0.20520833333333333,0.6828125,0.3333333333333333,640,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/e53eb4ea-9e38-4f94-a102-529a878b1fbd___18q0dngvi7ic2jpg.jpg.jpeg,Face,,0.3725,0.2746268656716418,0.5425,0.7283582089552239,800,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/33017740-60d0-436a-9d05-2e59772ce471___19c50e32afad4fb81558d57296645da8.jpg.jpeg,Face,,0.14685314685314685,0.3291592128801431,0.26573426573426573,0.4212880143112701,715,1118,Face,,0.4111888111888112,0.2880143112701252,0.6139860139860139,0.40966010733452596,715,1118,,Face,,0.2699300699300699,0.16815742397137745,0.4307692307692308,0.2898032200357782,715,1118,Face,,0.7398601398601399,0.29874776386404295,0.8909090909090909,0.3962432915921288,715,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/2c10a7a0-c3ea-4659-a457-df45dcfd998d___19-EOY-sex-scenes.nocrop.w710.h2147483647.jpg.jpeg,Face,,0.07042253521126761,0.5126760563380282,0.24084507042253522,0.7281690140845071,710,710,Face,,0.5549295774647888,0.4450704225352113,0.7591549295774648,0.7915492957746478,710,710,,Face,,0.7788732394366197,0.48732394366197185,0.9704225352112676,0.7774647887323943,710,710,Face,,0.5380281690140845,0.12394366197183099,0.7619718309859155,0.423943661971831,710,710,Face,,0.7408450704225352,0.14929577464788732,0.9014084507042254,0.4028169014084507,710,710,Face,,0.1704225352112676,0.28450704225352114,0.35070422535211265,0.5690140845070423,710,710,Face,,0.34507042253521125,0.3816901408450704,0.4563380281690141,0.5521126760563381,710,710,Face,,0.10845070422535211,0.10140845070422536,0.21267605633802816,0.23380281690140844,710,710,Face,,0.23943661971830985,0.10422535211267606,0.4084507042253521,0.22253521126760564,710,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
